No of commenced toilet photo,No of Application verified, No of application Approved, No of application pullback, No of application not verified, No of application pullback,No. of Constructed Toilet Photo through Swachhalaya,ULB,No. of Constructed Toilet Photo	No. of Commenced Toilet Photo,No. of Applications Received,District, No. of Applications Approved having Aadhar No,lambda,State
873,2915,2851,1,91,4,1,Pakri Dayal (NP),621,Purba Champaran,3155,606,144,Bihar
434,1311,1007,7,197,8,0,Raxaul Bazar (Nagar Parishad),215,Purba Champaran,2648,888,1125,Bihar
400,2574,1909,17,4500,28,2,Sugauli (NP),348,Purba Champaran,12376,1029,5257,Bihar
1323,2503,1127,0,716,0,3,Banmankhi Bazar (NP),810,Purnia,3222,400,3,Bihar
404,1425,284,2,2011,4,2,Kasba (NP),181,Purnia,3490,283,48,Bihar
2932,6515,6293,6,173,2,11,Purnia (M Corp.),2498,Purnia,7230,1272,534,Bihar
614,943,805,3,1454,2,3,Bikramganj (NP),196,Rohtas,2404,249,2,Bihar
399,1956,1072,1,557,2,5,Dehri (Nagar Parishad),679,Rohtas,2595,1067,79,Bihar
104,708,424,0,86,0,0,Koath (NP),67,Rohtas,795,0,1,Bihar
7,1387,225,1,555,2,0,Kochas,222,Rohtas,1950,0,5,Bihar
462,1863,1828,0,43,74,0,Nasriganj (NP),1399,Rohtas,1990,543,10,Bihar
742,1510,1467,1,659,3,0,Nokha (NP),806,Rohtas,2184,419,11,Bihar
25,1872,1150,2,500,1,5,Sasaram (Nagar Parishad),1170,Rohtas,2418,143,43,Bihar
5554,10227,9910,43,6927,20,7,Saharsa (Nagar Parishad),1514,Saharsa,17302,9654,85,Bihar
668,1501,1354,7,851,1,10,Simari Bakhtiyarpur(NP),698,Saharsa,2370,765,10,Bihar
234,1155,823,2,115,6,4,Dalsinghsarai (NP),681,Samastipur,1342,677,64,Bihar
353,208,0,7,868,3,8,Rosera (NP),14,Samastipur,1113,0,27,Bihar
151,106,75,4,344,67,25,Samastipur (Nagar Parishad),148,Samastipur,681,2,160,Bihar
2009,4682,3190,6,524,39,13,Chapra (Nagar Parishad),333,Saran,5462,1576,211,Bihar
1423,1846,1794,1,224,67,1,Dighwara (NP),419,Saran,2139,579,1,Bihar
774,2034,1156,0,9,113,3,Ekma Bazar (NP),401,Saran,2172,486,16,Bihar
291,2819,2195,7,89,4,6,Marhaura (NP),76,Saran,3061,764,142,Bihar
213,1861,1446,3,1332,1441,0,Parsa Bazar (NP),45,Saran,4639,927,2,Bihar
140,2107,2092,0,225,0,0,Revelganj (NP),705,Saran,2343,156,11,Bihar
737,1379,936,2,757,13,0,Sonepur (NP),245,Saran,2226,652,75,Bihar
764,1895,1704,2,374,4,0,Barbigha (NP),972,Sheikhpura,2280,1067,5,Bihar
710,2235,1838,1,1950,0,0,Sheikhpura (Nagar Parishad),1134,Sheikhpura,4187,1600,1,Bihar
560,2142,1854,2,185,6,5,Sheohar (NP),780,Sheohar,2344,156,9,Bihar
960,3829,3423,2,203,25,1,Bairgania (NP),888,Sitamarhi,4189,2939,130,Bihar
385,938,932,0,212,5,1,Belsand (NP),540,Sitamarhi,1233,102,78,Bihar
3,333,333,2,27,1,1,Dumra (NP),319,Sitamarhi,427,288,64,Bihar
145,547,504,3,15,1,9,Janakpur Road (NP),244,Sitamarhi,651,133,85,Bihar
466,1089,571,4,756,0,9,Sitamarhi (Nagar Parishad),398,Sitamarhi,1864,362,15,Bihar
622,1270,1255,1,7,2,3,Maharajganj (NP),360,Siwan,1430,167,150,Bihar
196,312,269,3,147,950,6,Mairwa (NP),86,Siwan,1422,171,10,Bihar
563,1839,1299,2,1726,42,9,Siwan (Nagar Parishad),789,Siwan,3613,204,4,Bihar
276,750,487,1,1168,1,1,Birpur (NP),273,Supaul,2039,428,119,Bihar
54,1146,1076,3,179,0,5,Nirmali (NP),112,Supaul,1340,300,12,Bihar
2503,6254,4602,2,10,1,8,Supaul (Nagar Parishad),2391,Supaul,6369,841,102,Bihar
2,1561,1429,0,0,1,1,Baloda Bazar (M),1222,Baloda Bazar,1663,305,101,Chhattisgarh
173,4007,3873,2,1596,2,0,Bhatapara (M),3813,Baloda Bazar,5642,2551,35,Chhattisgarh
0,1028,1028,0,1,0,1,Tundra (NP),1036,Baloda Bazar,1092,839,63,Chhattisgarh
3,1225,1030,0,2,2,0,Bhatgaon (NP),1219,Baloudabazar-Bhatapara,1232,913,3,Chhattisgarh
9,567,567,0,42,3,1,Bilaigarh (NP),457,Baloudabazar-Bhatapara,721,526,109,Chhattisgarh
0,1045,1045,0,0,1,0,Kasdol (NP),1048,Baloudabazar-Bhatapara,1154,88,108,Chhattisgarh
4,758,0,0,471,0,0,Lawan (NP),947,Baloudabazar-Bhatapara,1229,0,0,Chhattisgarh
0,929,890,0,27,2,3,Palari (NP),934,Baloudabazar-Bhatapara,1135,854,177,Chhattisgarh
13,722,54,0,960,1,5,Simga (NP),1202,Baloudabazar-Bhatapara,1683,2,0,Chhattisgarh
0,539,539,0,0,0,0,Balrampur (NP),488,Balrampur,577,15,38,Chhattisgarh
3,1047,208,2,2,0,0,Kusmi (NP),764,Balrampur,1069,17,18,Chhattisgarh
2,545,545,0,0,1,0,Rajpur (NP),582,Balrampur,593,48,47,Chhattisgarh
4,761,214,1,326,13,0,Ramanujganj (NP),973,Balrampur,1266,176,165,Chhattisgarh
2,515,515,0,0,0,2,Wadrafnagar (NP),473,Balrampur,545,31,30,Chhattisgarh
0,1566,1520,1,22,0,0,Bastar (NP),1456,Bastar,1590,740,1,Chhattisgarh
0,4133,3923,2,43,0,0,Jagdalpur (M Corp.),3056,Bastar,5055,2767,877,Chhattisgarh
3,1428,1428,212,114,1,3,Bemetara (M),1428,Bemetara,1828,924,73,Chhattisgarh
0,535,534,0,134,0,2,Berla (NP),534,Bemetara,718,373,49,Chhattisgarh
5,915,348,4,0,1,0,Devkar (NP),602,Bemetara,925,254,5,Chhattisgarh
2,651,651,6,18,0,0,Khamhariya,557,Bemetara,696,513,21,Chhattisgarh
7,1098,911,37,139,0,0,Maro (NP),857,Bemetara,1284,375,10,Chhattisgarh
1,806,721,2,286,0,1,Nawagarh (NP),729,Bemetara,1094,265,0,Chhattisgarh
2,553,373,0,0,0,0,Parpondi (NP),428,Bemetara,571,316,18,Chhattisgarh
0,510,509,0,4,0,0,Saja (NP),518,Bemetara,583,465,69,Chhattisgarh
5,169,169,0,1742,0,0,Bhairamgarh (NP),1092,Bijapur,1917,5,6,Chhattisgarh
0,113,25,3,409,0,0,Bhopalpattanam (NP),358,Bijapur,525,1,0,Chhattisgarh
0,1805,1805,2,22,0,0,Bijapur (NP),1827,Bijapur,2102,1263,273,Chhattisgarh
0,5127,5127,0,0,0,0,Bilaspur (M Corp.),5127,Bilaspur,5910,3563,783,Chhattisgarh
0,1131,935,3,350,0,0,Bilha (NP),1151,Bilaspur,1484,881,0,Chhattisgarh
0,1133,1133,0,180,0,0,Bodri (NP),1133,Bilaspur,1326,474,13,Chhattisgarh
11,1691,1251,7,283,0,0,Gaurella (NP),1724,Bilaspur,2088,68,107,Chhattisgarh
6,883,492,1,2111,0,1,Kota (NP),2052,Bilaspur,2995,7,0,Chhattisgarh
1,1191,1191,0,285,0,0,Malhar (NP),1203,Bilaspur,1832,134,356,Chhattisgarh
0,224,224,0,1183,0,0,Pathariya (NP),1045,Bilaspur,1408,212,1,Chhattisgarh
0,240,240,0,1269,0,0,Pendra (NP),1080,Bilaspur,1509,94,0,Chhattisgarh
3,2664,2631,1,226,0,1,Ratanpur (NP),2632,Bilaspur,3676,1989,785,Chhattisgarh
2,1223,1223,0,0,0,0,Sakari (NP),1223,Bilaspur,1576,562,353,Chhattisgarh
24,188,188,0,641,0,0,Sargaon (NP),419,Bilaspur,829,150,0,Chhattisgarh
1,1116,1101,0,37,4,0,Sirgitti (NP),1101,Bilaspur,1671,570,514,Chhattisgarh
3,649,109,0,823,0,1,Takhatpur (NP),959,Bilaspur,1487,0,15,Chhattisgarh
2,1453,1453,2,0,0,1,Tifra (NP),1453,Bilaspur,1835,920,380,Chhattisgarh
5,1450,1450,0,12,0,0,Bade Bacheli (M),1466,Dantewada,1744,101,282,Chhattisgarh
0,217,217,1,874,0,0,Barsur (NP),1056,Dantewada,1092,0,0,Chhattisgarh
0,1367,1366,1,0,0,0,Dantewada (NP),1368,Dantewada,1500,157,132,Chhattisgarh
0,714,714,0,0,0,0,Geedam (NP),714,Dantewada,718,106,4,Chhattisgarh
4,1289,1289,7,0,0,0,Kirandul (M),1289,Dantewada,1642,164,346,Chhattisgarh
3,792,792,0,1,0,0,Aamadi (NP),782,Dhamtari,813,538,20,Chhattisgarh
1,1069,1069,1,9,0,0,Bhakhara (NP),1058,Dhamtari,1080,647,1,Chhattisgarh
1,6142,6142,1,0,201,1,Dhamtari (M),6142,Dhamtari,7739,1320,1395,Chhattisgarh
0,834,834,0,0,0,1,Kurud (NP),843,Dhamtari,883,791,49,Chhattisgarh
0,1039,1039,0,0,0,0,Magarlod (NP),1028,Dhamtari,1088,98,49,Chhattisgarh
0,1472,1472,0,2,0,0,Nagari (NP),1456,Dhamtari,1531,1275,57,Chhattisgarh
5,1854,1852,0,0,0,1,Ahiwara (NP),1855,Durg,2458,1373,604,Chhattisgarh
0,5723,5701,1,152,33,0,Bhilai Charoda (M),5577,Durg,8457,4867,2548,Chhattisgarh
20,17488,17485,3,132,77,0,Bhilai Nagar (M Corp.),17491,Durg,22798,14649,5098,Chhattisgarh
4,710,710,1,0,0,0,Daundi Lohara (NP),710,Durg,1086,301,375,Chhattisgarh
2,821,821,1,0,0,0,Dhamdha (NP),847,Durg,1093,503,271,Chhattisgarh
1,7081,7081,0,0,700,0,Durg (M Corp.),7081,Durg,9611,3836,1830,Chhattisgarh
12,1932,1932,0,344,0,0,Jamul (M),1932,Durg,2487,1559,211,Chhattisgarh
0,2839,2839,0,131,1,0,Kumhari (M),2839,Durg,3820,810,849,Chhattisgarh
0,1094,1094,3,0,0,1,Patan (NP),1100,Durg,1146,410,49,Chhattisgarh
0,0,0,0,0,0,0,Than-Khamharia (NP),0,Durg,0,0,0,Chhattisgarh
0,751,751,0,43,0,0,Utai (NP),748,Durg,795,275,1,Chhattisgarh
4,1036,832,0,538,0,2,Adbhar (NP),1281,Janjgir-Champa,1594,500,20,Chhattisgarh
3,2398,2156,0,0,0,0,Akaltara (M),2156,Janjgir-Champa,2695,652,297,Chhattisgarh
0,1542,1528,15,154,0,2,Baloda (NP),1676,Janjgir-Champa,1712,666,1,Chhattisgarh
4,2678,2647,2,964,0,11,Champa (M),2822,Janjgir-Champa,4034,1431,390,Chhattisgarh
0,797,650,1,0,1,3,Chandrapur (NP),659,Janjgir-Champa,800,359,1,Chhattisgarh
1,1248,1059,3,45,1,0,Dabhra (NP),828,Janjgir-Champa,1297,956,0,Chhattisgarh
0,488,86,0,910,1,1,Jaijepur (NP),806,Janjgir-Champa,1399,53,0,Chhattisgarh
0,881,881,0,0,0,1,Kharod (NP),881,Janjgir-Champa,939,831,58,Chhattisgarh
1,1788,432,3,431,1,2,Naila-Janjgir (M),1787,Janjgir-Champa,2236,170,13,Chhattisgarh
15,1095,159,0,791,0,26,Nawagarh (NP),1183,Janjgir-Champa,1886,67,0,Chhattisgarh
18,623,19,0,448,0,0,Naya Baradwar (NP),849,Janjgir-Champa,1072,15,1,Chhattisgarh
16,1090,289,0,173,1,28,Rahaud (NP),776,Janjgir-Champa,1268,210,4,Chhattisgarh
2,1059,1059,0,331,0,2,Sakti (M),1059,Janjgir-Champa,1518,414,128,Chhattisgarh
1,536,504,0,328,0,1,Saragaon (NP),545,Janjgir-Champa,864,314,0,Chhattisgarh
0,700,700,0,162,0,0,Shivrinarayan (NP),700,Janjgir-Champa,862,254,0,Chhattisgarh
2,1498,1498,0,9,0,0,Bagicha (NP),1473,JashpurNagar,1567,1140,60,Chhattisgarh
0,1546,1546,3,0,80,0,JashpurNagar (M),1546,JashpurNagar,1662,1339,33,Chhattisgarh
8,1116,136,0,350,0,1,Kotba (NP),1261,JashpurNagar,1467,127,1,Chhattisgarh
4,732,641,6,123,0,0,Kunkuri(NP),787,JashpurNagar,903,488,42,Chhattisgarh
19,705,698,0,153,0,30,Pathalgaon (NP),487,JashpurNagar,879,146,21,Chhattisgarh
1,532,489,0,396,0,0,Bodla (NP),807,Kabeerdham,936,14,8,Chhattisgarh
0,2610,2610,0,727,1,10,Kawardha (M),2610,Kabeerdham,3444,1941,106,Chhattisgarh
8,1173,1162,0,1,0,0,Pandariya (NP),916,Kabeerdham,1174,431,0,Chhattisgarh
0,868,850,0,2,0,0,Pandatarai (NP),712,Kabeerdham,911,140,41,Chhattisgarh
0,637,635,0,161,0,0,Pipariya (NP),650,Kabeerdham,955,183,157,Chhattisgarh
0,886,886,3,84,3,0,Sahaspur-Lohara (NP),871,Kabeerdham,989,123,13,Chhattisgarh
8,665,458,6,51,0,0,Farasgaon (NP),681,Kondagaon,750,283,28,Chhattisgarh
0,1143,1095,1,0,0,0,Keskal (NP),1152,Kondagaon,1153,639,9,Chhattisgarh
6,944,66,7,1748,0,0,Kondagaon (M),2093,Kondagaon,2727,42,28,Chhattisgarh
0,0,0,0,0,0,0,Visrampuree (NP),0,Kondagaon,0,0,0,Chhattisgarh
0,1052,1050,0,0,1,1,Chhurikala (NP),1038,Korba,1071,750,18,Chhattisgarh
12,1078,1078,0,0,0,0,Dipka (M),1078,Korba,1520,852,442,Chhattisgarh
1,3191,3191,0,987,1,0,Katghora (NP),3169,Korba,4230,1947,51,Chhattisgarh
14,24098,24097,0,1,1153,0,Korba (M Corp.),22338,Korba,30726,10741,5474,Chhattisgarh
0,474,473,0,0,1,0,Pali (NP),473,Korba,508,343,33,Chhattisgarh
0,2603,2603,0,0,0,0,Baikunthpur (M),2558,Koria,2643,116,40,Chhattisgarh
38,7672,7672,1,608,0,0,Chirmiri (M.Corp),7672,Koria,8497,6884,216,Chhattisgarh
14,704,230,0,77,6,0,Jhagrakhand (NP),680,Koria,793,151,6,Chhattisgarh
15,1202,1202,0,337,0,0,Khongapani (NP),1215,Koria,1565,927,26,Chhattisgarh
6,2220,2051,0,1,31,0,Manendragarh (M),2102,Koria,2917,1937,665,Chhattisgarh
0,235,171,3,315,1,0,Nai-Ledri (NP),585,Koria,646,131,92,Chhattisgarh
0,2259,2199,0,0,1,1,Shivpur Charcha (M),2199,Koria,2701,851,441,Chhattisgarh
17,1556,1556,0,282,0,0,Bagbahara (NP),1556,Mahasamund,2003,1329,165,Chhattisgarh
9,800,800,0,213,0,0,Basna (NP),805,Mahasamund,1013,292,0,Chhattisgarh
6,1987,1984,0,1535,0,1,Mahasamund (M),2037,Mahasamund,3528,959,6,Chhattisgarh
1,575,566,0,45,0,1,Pithora (NP),545,Mahasamund,633,255,13,Chhattisgarh
2,2344,2344,0,0,0,0,Saraipali (NP),2344,Mahasamund,2496,712,152,Chhattisgarh
7,460,136,0,680,0,0,Tumgaon (NP),950,Mahasamund,1146,59,6,Chhattisgarh
19,1126,1122,0,0,0,2,Lormi (NP),1077,Mungeli,2075,344,949,Chhattisgarh
8,3119,3119,0,87,0,0,Mungeli (M),3119,Mungeli,3377,2639,171,Chhattisgarh
0,2932,2925,0,0,1,0,Narayanpur (NP),2934,Narayanpur,2935,2887,2,Chhattisgarh
0,712,712,3,1,25,0,Baramkela (NP),715,Raigarh,758,334,17,Chhattisgarh
1,842,267,0,1013,0,0,Dharamjaigarh (NP),1380,Raigarh,1867,11,12,Chhattisgarh
6,929,929,0,92,0,0,Gharghoda (NP),938,Raigarh,1026,589,5,Chhattisgarh
13,1468,3,3,688,0,5,Kharsia (M),1707,Raigarh,2208,3,49,Chhattisgarh
0,845,761,6,37,0,79,Kirodimalnagar (NP),889,Raigarh,902,163,14,Chhattisgarh
56,912,111,1,9,0,0,Lailunga (NP),397,Raigarh,928,79,6,Chhattisgarh
10,805,1,0,0,0,0,Pusaur (NP),731,Raigarh,1141,1,336,Chhattisgarh
0,6588,6587,0,12,13,1,Raigarh (M Corp.),6584,Raigarh,10449,1556,3836,Chhattisgarh
5,1956,815,1,559,0,0,Sarangarh (NP),1998,Raigarh,2516,620,0,Chhattisgarh
3,933,928,0,19,0,0,Sariya (NP),863,Raigarh,960,720,8,Chhattisgarh
0,1796,1794,0,83,12,1,Abhanpur (NP),1793,Raipur,2019,478,128,Chhattisgarh
0,1571,1567,0,10,0,2,Arang (NP),1413,Raipur,1698,228,117,Chhattisgarh
0,4688,4688,0,0,0,0,Birgaon (M),4688,Raipur,7894,3399,3206,Chhattisgarh
6,2163,2142,0,1012,0,0,Gobra Nawapara (M),2182,Raipur,3177,1366,2,Chhattisgarh
2,1118,1118,0,0,0,0,Kharora (NP),1120,Raipur,1236,120,118,Chhattisgarh
18,94,94,1,1544,0,0,Kura (NP),916,Raipur,1639,43,0,Chhattisgarh
0,924,924,0,0,0,0,Mana-Camp (NP),924,Raipur,946,507,22,Chhattisgarh
1,14226,12205,7,2058,5,4,Raipur (M Corp.),11951,Raipur,19207,5877,2911,Chhattisgarh
1,3110,3110,0,0,1,1,Tilda Newra (M),3110,Raipur,4783,479,1672,Chhattisgarh
3,788,788,0,1,0,0,Ambagarh Chowki (NP),755,Rajnandgaon,795,36,6,Chhattisgarh
0,749,749,0,0,0,0,Chhuikhadan (NP),749,Rajnandgaon,825,89,76,Chhattisgarh
0,564,563,0,0,0,0,Chhuriya (NP),564,Rajnandgaon,567,482,3,Chhattisgarh
1,1257,1257,0,2,1,1,Dongargaon (NP),1211,Rajnandgaon,1339,1066,79,Chhattisgarh
1,2865,2865,0,0,0,0,Dongargarh (M),2865,Rajnandgaon,3404,1480,539,Chhattisgarh
6,1409,1315,0,224,0,0,Gandai (NP),1376,Rajnandgaon,1736,735,103,Chhattisgarh
0,2036,2001,0,354,0,0,Khairagarh (M),2036,Rajnandgaon,2429,1120,39,Chhattisgarh
3,10526,10526,0,0,3,2,Rajnandgaon (M Corp.),10523,Rajnandgaon,14586,2796,4057,Chhattisgarh
2,6088,6088,1,9,361,0,Ambikapur (M Corp.),6094,Sarguja,6533,294,74,Chhattisgarh
1,1063,1059,0,1,0,0,Lakhanpur (NP),1067,Sarguja,1194,18,130,Chhattisgarh
0,1237,1237,0,0,0,1,Sitapur (NP),1237,Sarguja,1366,99,129,Chhattisgarh
0,25,24,0,511,0,0,Dornapal (NP),366,Sukma,536,11,0,Chhattisgarh
0,54,54,0,895,0,0,Konta (NP),949,Sukma,949,0,0,Chhattisgarh
0,1794,1794,0,13,0,0,Sukma (NP),1794,Sukma,1807,1486,0,Chhattisgarh
9,774,774,0,0,0,0,Bhatgaon (NP),753,Surajpur,840,124,66,Chhattisgarh
0,344,344,3,1,18,1,Bishrampur (NP),344,Surajpur,470,265,104,Chhattisgarh
0,399,399,1,0,0,0,Jarhi (NP),374,Surajpur,574,134,174,Chhattisgarh
10,504,332,0,0,0,0,Pratappur (NP),502,Surajpur,603,94,99,Chhattisgarh
0,614,124,0,133,16,0,Premnagar (NP),545,Surajpur,774,90,11,Chhattisgarh
21,2084,2025,0,183,0,1,Surajpur (M),2078,Surajpur,2694,747,427,Chhattisgarh
0,2,1,1,6,0,2,"North DMC(C)- SadarPaharganj,KarolBagh &City Zones",1,Central,14,0,5,Delhi
0,17,0,0,8,0,1,East DMC(E)- Shadara North & South Zones,3,East,59,0,34,Delhi
1,0,0,1,0,1,5,New Delhi Municipal Corporation,0,New Delhi,20,0,18,Delhi
13,5,0,2,1,1,5,North DMC(N)- Civil Lines Zone,21,North,169,0,160,Delhi
16,303,303,24,97,31,21,North DMC (NW)- Narela & Rohini Zones,56,North West,10183,292,9728,Delhi
6,150,150,3,12,4,1,South DMC (S) - South & Central Zones,157,South,1108,19,939,Delhi
0,0,0,0,0,0,1,Delhi Cantonment (CB),0,South West,4,0,4,Delhi
4,229,229,5,34,14,16,South DMC (SW) - Najafgarh Zone,230,South West,2311,228,2029,Delhi
0,4622,4621,0,3,860,0,Amreli (M),4622,Amreli,5485,0,0,Gujarat
0,428,428,0,1,942,1,Babra (M),428,Amreli,1371,0,0,Gujarat
0,1845,1845,0,0,724,0,Bagasara (M),1845,Amreli,2569,0,0,Gujarat
0,49,49,0,1,420,1,Chalala (M),50,Amreli,470,0,0,Gujarat
0,1861,1861,0,0,77,0,Damnagar (M),1861,Amreli,2069,0,131,Gujarat
0,3237,3237,0,0,82,0,Jafrabad (M),3237,Amreli,3340,0,21,Gujarat
0,2961,2961,0,3,70,0,Lathi (M),2962,Amreli,3034,0,0,Gujarat
0,2830,2830,0,3,33,0,Rajula (M),2830,Amreli,2866,0,0,Gujarat
0,2482,2482,0,0,6,0,Savarkundla (M),2482,Amreli,2498,0,10,Gujarat
0,4887,4877,0,4,3929,0,Anand (M),4877,Anand,8822,0,2,Gujarat
0,2380,2380,0,4,1403,0,Anklav (M),2380,Anand,3787,2,0,Gujarat
0,3063,3063,0,0,1700,0,Boriavi (M),3063,Anand,4763,0,0,Gujarat
0,1757,1757,0,1,210,0,Borsad (M),1757,Anand,3006,0,1038,Gujarat
0,947,947,0,0,888,0,Karamsad (M),947,Anand,1835,0,0,Gujarat
0,611,611,0,8,702,4,Khambhat (M),611,Anand,1321,0,0,Gujarat
0,4774,4774,0,0,474,0,Ode (M),4774,Anand,5248,13,0,Gujarat
0,2647,2647,0,1,323,0,Petlad (M),2647,Anand,2971,0,0,Gujarat
0,801,801,0,0,23,0,Sojitra (M),801,Anand,990,0,166,Gujarat
0,2446,2446,0,0,97,0,Umreth (M),2446,Anand,2543,0,0,Gujarat
0,44,44,0,0,56,0,Vallabh Vidyanagar (M),44,Anand,100,0,0,Gujarat
0,0,0,0,0,0,0,Vasna Borsad (INA),0,Anand,0,0,0,Gujarat
0,0,0,0,0,0,0,Vithal Udyognagar (INA),0,Anand,0,0,0,Gujarat
0,784,784,0,6,2273,0,Bayad (M),785,Aravalli,3063,0,0,Gujarat
2,3247,3246,0,8,1548,2,Modasa (M),3248,Aravalli,5766,0,963,Gujarat
0,3442,3442,0,3,989,1,Bhabhar (M),3442,Banas Kantha,4434,0,0,Gujarat
0,4774,4764,2,9,1511,1,Deesa (M),4768,Banas Kantha,6637,0,341,Gujarat
0,1987,1987,2,13,1635,3,Dhanera (M),1989,Banas Kantha,3637,0,0,Gujarat
0,4889,4889,2,7,1893,1,Palanpur (M),4889,Banas Kantha,6791,0,0,Gujarat
0,2486,2486,0,1,381,1,Thara (M),2486,Banas Kantha,2868,0,0,Gujarat
1,3040,3040,1,13,114,3,Tharad (M),3047,Banas Kantha,3168,0,0,Gujarat
0,665,665,0,0,2646,0,Amod (M),665,Bharuch,3721,0,410,Gujarat
0,0,0,0,0,0,0,Anklesvar (INA),0,Bharuch,0,0,0,Gujarat
0,3677,3677,0,1,344,0,Anklesvar (M),3677,Bharuch,4717,0,695,Gujarat
0,1,0,0,0,389,1,Bharuch (INA),1,Bharuch,698,0,308,Gujarat
0,5449,5444,0,1,664,0,Bharuch (M),5444,Bharuch,6181,0,67,Gujarat
1,2059,2059,0,2,433,0,Jambusar (M),2059,Bharuch,2888,0,394,Gujarat
0,0,0,0,0,0,0,Panoli (INA),0,Bharuch,0,0,0,Gujarat
0,0,0,0,0,0,0,Valia (Naldhari) (INA),0,Bharuch,0,0,0,Gujarat
0,0,0,0,0,0,0,Valia - Jhagadia (GNFC Scooter Project Area) (INA),0,Bharuch,0,0,0,Gujarat
0,0,0,0,0,0,0,Alang-Sosiya (INA),0,Bhavnagar,0,0,0,Gujarat
0,1510,1510,0,0,699,1,Barwala (M),1510,Bhavnagar,2209,0,0,Gujarat
0,14261,14261,2,11,0,2,Bhavnagar (M Corp.),14263,Bhavnagar,14274,0,0,Gujarat
1,2155,2155,1,3,1279,0,Gariadhar (M),2156,Bhavnagar,3438,0,0,Gujarat
0,3775,3775,0,4,1130,0,Mahuva (M),3776,Bhavnagar,4909,0,0,Gujarat
0,3415,3415,0,0,628,0,Palitana (M),3415,Bhavnagar,4043,0,0,Gujarat
0,3271,3265,0,3,67,0,Sihor (M),3266,Bhavnagar,3601,0,260,Gujarat
0,765,765,0,2,133,0,Talaja (M),765,Bhavnagar,900,0,0,Gujarat
0,1316,1316,1,0,38,0,Vallabhipur (M),1316,Bhavnagar,1366,0,11,Gujarat
0,9182,9177,0,3,283,1,Botad (M),9178,Botad,10150,0,682,Gujarat
0,1286,1286,0,1,1234,0,Gadhada (M),1286,Botad,2521,0,0,Gujarat
1,2064,2064,1,4,1058,1,Devgadbaria (M),2064,Dahod,3127,0,0,Gujarat
0,6078,6078,0,7,2781,12,Dohad (M),6080,Dahod,8866,0,0,Gujarat
0,1924,1924,1,4,1194,2,Jhalod (M),1924,Dahod,3123,0,0,Gujarat
0,1251,1249,0,1,468,0,Bhanvad (M),1249,Devbhoomi Dwarka,1855,0,135,Gujarat
1,2041,2041,1,132,1062,1,Dwarka (M),2075,Devbhoomi Dwarka,3280,0,44,Gujarat
0,1819,1819,0,1,1281,1,Khambhalia (M),1819,Devbhoomi Dwarka,3101,0,0,Gujarat
0,3348,3348,0,6,1108,0,Okha (M),3348,Devbhoomi Dwarka,4462,0,0,Gujarat
0,2422,2422,0,0,619,0,Raval (M),2422,Devbhoomi Dwarka,3062,0,21,Gujarat
0,3127,3127,0,0,166,0,Salaya (M),3127,Devbhoomi Dwarka,3293,0,0,Gujarat
0,0,0,0,0,0,0,Chhatral (INA),0,Gandhinagar,0,0,0,Gujarat
0,2378,2378,0,4,1280,0,Dehgam (M),2378,Gandhinagar,3663,0,1,Gujarat
0,7339,7339,0,1,2229,0,Gandhinagar (NA),7339,Gandhinagar,9754,0,185,Gujarat
0,0,0,0,0,0,0,Kalol (INA),0,Gandhinagar,0,0,0,Gujarat
0,5184,5184,0,1,865,0,Kalol (M),5184,Gandhinagar,6625,0,575,Gujarat
1,1545,1545,0,1,798,0,Mansa (M),1545,Gandhinagar,2690,0,346,Gujarat
0,1711,1711,0,0,327,0,Pethapur (M),1711,Gandhinagar,2038,0,0,Gujarat
0,2508,2508,1,5,585,0,Kodinar (M),2508,Gir Somnath,3099,0,0,Gujarat
0,2780,2780,1,0,1524,0,Sutrapada (M),2780,Gir Somnath,4305,0,0,Gujarat
0,1378,1378,0,1,1767,1,Talala (M),1378,Gir Somnath,3146,0,0,Gujarat
0,3267,3267,0,5,1318,1,Una (M),3268,Gir Somnath,4590,0,0,Gujarat
0,6514,6514,0,9,267,1,Veraval (M),6515,Gir Somnath,6825,0,35,Gujarat
0,2307,2307,0,1,1836,0,Dhrol (M),2307,Jamnagar,4144,0,0,Gujarat
0,0,0,0,0,0,0,GSFC (Motikhavdi Sikka) (INA),0,Jamnagar,0,0,0,Gujarat
0,1067,1067,0,3,2250,1,Jamjodhpur (M),1067,Jamnagar,3320,0,0,Gujarat
0,13098,13098,1,2,6100,0,Jamnagar (M Corp.),13100,Jamnagar,19202,0,1,Gujarat
0,476,475,0,1,841,0,Kalavad (M),475,Jamnagar,1976,0,658,Gujarat
0,0,0,0,0,0,0,Reliance Complex (INA),0,Jamnagar,0,0,0,Gujarat
0,1803,1803,0,0,439,0,Sikka (M),1803,Jamnagar,2242,4,0,Gujarat
0,1145,1145,0,0,386,0,Bantwa (M),1145,Junagadh,1609,0,78,Gujarat
0,838,838,0,2,770,0,Chorvad (M),838,Junagadh,1610,0,0,Gujarat
0,8389,8389,2,0,3230,2,Junagadh (M Corp.),8391,Junagadh,11625,2,4,Gujarat
0,3320,3320,0,4,910,0,Keshod (M),3320,Junagadh,4234,0,0,Gujarat
0,3248,3248,0,0,1004,0,Manavadar (M),3248,Junagadh,4319,0,67,Gujarat
0,1019,1019,2,5,927,0,Mangrol (M),1020,Junagadh,1953,0,0,Gujarat
0,730,730,0,2,327,0,Vanthali (M),730,Junagadh,1083,0,24,Gujarat
